iter	Passed	Remaining
0	0	92
1	2	103
2	3	110
3	4	101
4	5	98
5	6	97
6	7	94
7	8	95
8	9	95
9	10	94
10	11	92
11	12	91
12	13	88
13	14	86
14	14	84
15	15	82
16	16	80
17	17	79
18	18	77
19	19	76
20	20	76
21	21	74
22	21	73
23	22	72
24	23	71
25	24	70
26	25	69
27	26	68
28	27	66
29	28	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	59
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	44	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	31
65	58	30
66	59	29
67	60	28
68	60	27
69	62	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	15
83	74	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
