iter	Passed	Remaining
0	141	141036
1	141	70763
2	142	47405
3	144	36004
4	146	29239
5	148	24544
6	148	21100
7	149	18557
8	151	16638
9	151	15043
10	153	13764
11	153	12644
12	154	11697
13	154	10900
14	155	10205
15	157	9665
16	157	9126
17	158	8654
18	159	8224
19	160	7842
20	160	7490
21	161	7175
22	161	6879
23	162	6607
24	163	6361
25	163	6132
26	164	5918
27	164	5719
28	165	5536
29	165	5364
30	166	5212
31	167	5065
32	168	4925
33	168	4789
34	169	4662
35	169	4544
36	170	4433
37	170	4325
38	171	4232
39	172	4147
40	173	4061
41	174	3978
42	174	3894
43	175	3818
44	176	3744
45	177	3677
46	178	3610
47	178	3545
48	179	3484
49	180	3425
50	180	3366
51	181	3313
52	182	3259
53	182	3205
54	183	3157
55	185	3119
56	185	3076
57	186	3032
58	187	2992
59	188	2952
60	189	2911
61	189	2871
62	190	2832
63	191	2794
64	191	2760
65	192	2724
66	193	2690
67	193	2657
68	194	2626
69	195	2596
70	196	2567
71	196	2537
72	197	2508
73	198	2479
74	198	2453
75	200	2435
76	201	2409
77	201	2383
78	202	2358
79	203	2336
80	203	2313
81	204	2290
82	204	2264
83	205	2242
84	206	2219
85	206	2198
86	207	2177
87	208	2156
88	208	2136
89	209	2115
90	209	2095
91	210	2076
92	210	2056
93	211	2039
94	212	2021
95	213	2006
96	214	1994
97	215	1980
98	216	1965
99	216	1951
100	217	1936
101	218	1922
102	219	1909
103	219	1895
104	220	1881
105	221	1866
106	221	1852
107	222	1838
108	223	1825
109	223	1811
110	224	1798
111	225	1786
112	226	1775
113	227	1764
114	227	1752
115	228	1740
116	229	1729
117	230	1719
118	230	1708
119	231	1697
120	232	1687
121	232	1676
122	233	1665
123	234	1655
124	235	1647
125	236	1638
126	236	1627
127	237	1617
128	238	1609
129	239	1600
130	239	1591
131	240	1583
132	241	1575
133	242	1566
134	243	1558
135	244	1551
136	245	1544
137	246	1536
138	246	1529
139	247	1522
140	248	1514
141	249	1505
142	249	1498
143	250	1490
144	251	1483
145	252	1475
146	253	1468
147	253	1461
148	254	1455
149	255	1448
150	256	1441
151	257	1434
152	258	1428
153	259	1423
154	260	1417
155	261	1412
156	261	1406
157	262	1400
158	263	1394
159	264	1387
160	264	1380
161	265	1374
162	266	1369
163	267	1364
164	268	1359
165	269	1354
166	270	1348
167	271	1343
168	272	1337
169	273	1332
170	274	1328
171	274	1323
172	275	1317
173	276	1311
174	277	1307
175	278	1302
176	279	1297
177	279	1291
178	280	1286
179	281	1281
180	281	1275
181	282	1271
182	283	1266
183	284	1262
184	285	1258
185	286	1253
186	287	1249
187	288	1245
188	289	1242
189	290	1237
190	291	1233
191	291	1228
192	292	1223
193	293	1218
194	293	1213
195	294	1207
196	294	1202
197	295	1197
198	296	1191
199	296	1187
200	297	1182
201	298	1177
202	298	1172
203	299	1168
204	299	1163
205	300	1158
206	301	1153
207	301	1148
208	302	1143
209	302	1139
210	303	1135
211	304	1130
212	304	1126
213	305	1122
214	306	1117
215	306	1113
216	307	1108
217	307	1103
218	308	1099
219	308	1095
220	309	1090
221	309	1086
222	310	1081
223	311	1077
224	311	1074
225	312	1070
226	313	1067
227	314	1063
228	314	1059
229	315	1056
230	316	1052
231	316	1048
232	317	1044
233	318	1041
234	318	1037
235	319	1034
236	320	1030
237	320	1026
238	321	1023
239	321	1019
240	322	1016
241	323	1013
242	324	1009
243	324	1005
244	325	1002
245	326	1000
246	326	996
247	327	992
248	328	989
249	328	986
250	329	982
251	330	979
252	331	977
253	331	974
254	332	971
255	333	968
256	334	965
257	334	962
258	335	959
259	336	956
260	336	953
261	337	950
262	337	946
263	338	943
264	339	940
265	339	937
266	340	935
267	341	933
268	342	930
269	343	929
270	344	926
271	345	923
272	345	921
273	346	918
274	347	915
275	347	912
276	348	909
277	349	906
278	350	904
279	350	902
280	351	899
281	352	896
282	352	893
283	353	890
284	353	888
285	354	885
286	355	883
287	356	880
288	356	877
289	357	875
290	358	872
291	358	869
292	359	866
293	359	864
